provider,year,region,attr,subattr,type,layer,field,targetFile,url,notes
VRI,2015,BC,age,,vector,VEG_COMP_LYR_L1_POLY,PROJ_AGE_1,VEG_COMP_LYR_L1_POLY_2015.gdb.zip,https://pub.data.gov.bc.ca/datasets/02dba161-fdb7-48ae-a4bb-bd6ef017c36d/2015/VEG_COMP_LYR_L1_POLY_2015.gdb.zip,
VRI,2015,BC,BC_Forestry,,vector,VEG_COMP_LYR_L1_POLY,SPECIES_CD_1,VEG_COMP_LYR_L1_POLY_2015.gdb.zip,https://pub.data.gov.bc.ca/datasets/02dba161-fdb7-48ae-a4bb-bd6ef017c36d/2015/VEG_COMP_LYR_L1_POLY_2015.gdb.zip,
SCANFI,2020,,age,,raster,,,SCANFI_att_age_S_2020_v1_1.tif,https://drive.google.com/file/d/1OdZ7Tznk53KceEyt9dFOBOkxDHEX5X0U,
SCANFI,2020,,LandR,ABIE_AMA,raster,,,SCANFI_sps_ABIE_AMA_S_2020_v1_1.tif,https://drive.google.com/file/d/11heIFwmbVcwpfT18DCMi40Xj61-B0LJY,
SCANFI,2020,,LandR,ABIE_BAL,raster,,,SCANFI_sps_ABIE_BAL_S_2020_v1_1.tif,https://drive.google.com/file/d/1er2yUqkX_KY4f2kOwQguwI2Y6jiuD73S,
SCANFI,2020,,LandR,ABIE_LAS,raster,,,SCANFI_sps_ABIE_LAS_S_2020_v1_1.tif,https://drive.google.com/file/d/1CBkCGikYafu-iQTqmEwJJLLLPnzz0tPp,
SCANFI,2020,,LandR,ACER_RUB,raster,,,SCANFI_sps_ACER_RUB_S_2020_v1_1.tif,https://drive.google.com/file/d/1m6kSwNZyGHCxsLcHUc6kp53mkJdTZOCs,
SCANFI,2020,,LandR,ACER_SAH,raster,,,SCANFI_sps_ACER_SAH_S_2020_v1_1.tif,https://drive.google.com/file/d/1y0e68mJzTMs0KCyULKvuymxsdYvYDFQU,
SCANFI,2020,,LandR,ALNU_RUB,raster,,,SCANFI_sps_ALNU_RUB_S_2020_v1_1.tif,https://drive.google.com/file/d/1fmdDfOstKNRSyV5-tw3thw_dBFK2lYQS,
SCANFI,2020,,LandR,BETU_ALL,raster,,,SCANFI_sps_BETU_ALL_S_2020_v1_1.tif,https://drive.google.com/file/d/1w_xjrjb7VcmSvputhHS4CxqCmnIZcZ-W,
SCANFI,2020,,LandR,BETU_PAP,raster,,,SCANFI_sps_BETU_PAP_S_2020_v1_1.tif,https://drive.google.com/file/d/1QSv2dJYEmvEIdctuH2lSpFL79lQhtOAU,
SCANFI,2020,,LandR,CHAM_NOO,raster,,,SCANFI_sps_CHAM_NOO_S_2020_v1_1.tif,https://drive.google.com/file/d/1bG05rehLnmtqDp1pEWRirQCku8W51yzp,
